# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.152 4.9995 -1.28449e-09 -0.103233 -1.45661e-09 0.00352696 1.64245e-09 0.999994
0.153 4.99949 -1.2972e-09 -0.104654 -1.46822e-09 0.0035529 1.6558e-09 0.999994
0.154 4.99949 -1.30991e-09 -0.106084 -1.47983e-09 0.00357884 1.66916e-09 0.999994
0.155 4.99949 -1.32263e-09 -0.107524 -1.49145e-09 0.00360477 1.68251e-09 0.999994
0.156 4.99948 -1.33534e-09 -0.108974 -1.50306e-09 0.00363071 1.69587e-09 0.999993
0.157 4.99948 -1.34805e-09 -0.110434 -1.51467e-09 0.00365665 1.70922e-09 0.999993
0.158 4.99948 -1.36077e-09 -0.111904 -1.52629e-09 0.00368258 1.72258e-09 0.999993
0.159 4.99947 -1.37348e-09 -0.113383 -1.5379e-09 0.00370852 1.73594e-09 0.999993
0.16 4.99947 -1.3862e-09 -0.114872 -1.54952e-09 0.00373446 1.74929e-09 0.999993
0.161 4.99946 -1.39891e-09 -0.116371 -1.56113e-09 0.00376039 1.76265e-09 0.999993
0.162 4.99946 -1.41163e-09 -0.11788 -1.57275e-09 0.00378633 1.77601e-09 0.999993
0.163 4.99946 -1.42435e-09 -0.119398 -1.58436e-09 0.00381227 1.78937e-09 0.999993
0.164 4.99945 -1.43706e-09 -0.120927 -1.59598e-09 0.0038382 1.80273e-09 0.999993
0.165 4.99945 -1.44978e-09 -0.122465 -1.6076e-09 0.00386414 1.81609e-09 0.999993
0.166 4.99945 -1.4625e-09 -0.124013 -1.61921e-09 0.00389008 1.82945e-09 0.999992
0.167 4.99944 -1.47522e-09 -0.12557 -1.63083e-09 0.00391601 1.84281e-09 0.999992
0.168 4.99944 -1.48794e-09 -0.127138 -1.64245e-09 0.00394195 1.85617e-09 0.999992
0.169 4.99943 -1.50066e-09 -0.128715 -1.65407e-09 0.00396789 1.86953e-09 0.999992
0.17 4.99943 -1.51338e-09 -0.130302 -1.66569e-09 0.00399383 1.88289e-09 0.999992
0.171 4.99943 -1.5261e-09 -0.131899 -1.67731e-09 0.00401976 1.89625e-09 0.999992
0.172 4.99942 -1.53882e-09 -0.133506 -1.68892e-09 0.0040457 1.90961e-09 0.999992
0.173 4.99942 -1.55154e-09 -0.135123 -1.70054e-09 0.00407164 1.92297e-09 0.999992
0.174 4.99942 -1.56426e-09 -0.136749 -1.71216e-09 0.00409757 1.93634e-09 0.999992
0.175 4.99941 -1.57698e-09 -0.138385 -1.72378e-09 0.00412351 1.9497e-09 0.999991
0.176 4.99941 -1.5897e-09 -0.140031 -1.7354e-09 0.00414945 1.96306e-09 0.999991
0.177 4.9994 -1.60243e-09 -0.141687 -1.74703e-09 0.00417538 1.97643e-09 0.999991
0.178 4.9994 -1.61515e-09 -0.143352 -1.75865e-09 0.00420132 1.98979e-09 0.999991
0.179 4.9994 -1.62787e-09 -0.145028 -1.77027e-09 0.00422726 2.00316e-09 0.999991
0.18 4.99939 -1.6406e-09 -0.146713 -1.78189e-09 0.00425319 2.01652e-09 0.999991
0.181 4.99939 -1.65332e-09 -0.148408 -1.79351e-09 0.00427913 2.02989e-09 0.999991
0.182 4.99938 -1.66605e-09 -0.150112 -1.80513e-09 0.00430507 2.04325e-09 0.999991
0.183 4.99938 -1.67877e-09 -0.151827 -1.81676e-09 0.004331 2.05662e-09 0.999991
0.184 4.99938 -1.6915e-09 -0.153551 -1.82838e-09 0.00435694 2.06999e-09 0.999991
0.185 4.99937 -1.70423e-09 -0.155285 -1.84e-09 0.00438288 2.08336e-09 0.99999
0.186 4.99937 -1.71695e-09 -0.157029 -1.85163e-09 0.00440881 2.09672e-09 0.99999
0.187 4.99937 -1.72968e-09 -0.158783 -1.86325e-09 0.00443475 2.11009e-09 0.99999
0.188 4.99936 -1.74241e-09 -0.160547 -1.87488e-09 0.00446069 2.12346e-09 0.99999
0.189 4.99936 -1.75513e-09 -0.16232 -1.8865e-09 0.00448662 2.13683e-09 0.99999
0.19 4.99935 -1.76786e-09 -0.164103 -1.89813e-09 0.00451256 2.1502e-09 0.99999
0.191 4.99935 -1.78059e-09 -0.165896 -1.90975e-09 0.0045385 2.16357e-09 0.99999
0.192 4.99935 -1.79332e-09 -0.167699 -1.92138e-09 0.00456443 2.17694e-09 0.99999
0.193 4.99934 -1.80605e-09 -0.169511 -1.933e-09 0.00459037 2.19031e-09 0.999989
0.194 4.99934 -1.81878e-09 -0.171334 -1.94463e-09 0.00461631 2.20368e-09 0.999989
0.195 4.99933 -1.83151e-09 -0.173166 -1.95626e-09 0.00464224 2.21705e-09 0.999989
0.196 4.99933 -1.84424e-09 -0.175008 -1.96788e-09 0.00466818 2.23042e-09 0.999989
0.197 4.99933 -1.85697e-09 -0.176859 -1.97951e-09 0.00469412 2.24379e-09 0.999989
0.198 4.99932 -1.8697e-09 -0.178721 -1.99114e-09 0.00472005 2.25716e-09 0.999989
0.199 4.99932 -1.88244e-09 -0.180592 -2.00277e-09 0.00474599 2.27054e-09 0.999989
0.2 4.99932 -1.89517e-09 -0.182473 -2.0144e-09 0.00477193 2.28391e-09 0.999989
0.201 4.99931 -1.9079e-09 -0.184364 -2.02603e-09 0.00479786 2.29728e-09 0.999988
0.202 4.99931 -1.92064e-09 -0.186265 -2.03766e-09 0.0048238 2.31066e-09 0.999988
0.203 4.9993 -1.93337e-09 -0.188176 -2.04928e-09 0.00484974 2.32403e-09 0.999988
0.204 4.9993 -1.9461e-09 -0.190096 -2.06091e-09 0.00487567 2.33741e-09 0.999988
0.205 4.9993 -1.95884e-09 -0.192026 -2.07255e-09 0.00490161 2.35078e-09 0.999988
0.206 4.99929 -1.97157e-09 -0.193966 -2.08418e-09 0.00492755 2.36416e-09 0.999988
0.207 4.99929 -1.98431e-09 -0.195916 -2.09581e-09 0.00495348 2.37753e-09 0.999988
0.208 4.99928 -1.99705e-09 -0.197875 -2.10744e-09 0.00497942 2.39091e-09 0.999988
0.209 4.99928 -2.00978e-09 -0.199844 -2.11907e-09 0.00500536 2.40429e-09 0.999987
0.21 4.99928 -2.02252e-09 -0.201824 -2.1307e-09 0.00503129 2.41766e-09 0.999987
0.211 4.99927 -2.03526e-09 -0.203813 -2.14233e-09 0.00505723 2.43104e-09 0.999987
0.212 4.99927 -2.04799e-09 -0.205811 -2.15397e-09 0.00508317 2.44442e-09 0.999987
0.213 4.99927 -2.06073e-09 -0.20782 -2.1656e-09 0.0051091 2.4578e-09 0.999987
0.214 4.99926 -2.07347e-09 -0.209838 -2.17723e-09 0.00513504 2.47118e-09 0.999987
0.215 4.99926 -2.08621e-09 -0.211866 -2.18887e-09 0.00516098 2.48455e-09 0.999987
0.216 4.99925 -2.09895e-09 -0.213904 -2.2005e-09 0.00518691 2.49793e-09 0.999987
0.217 4.99925 -2.11169e-09 -0.215952 -2.21213e-09 0.00521285 2.51131e-09 0.999986
0.218 4.99925 -2.12443e-09 -0.218009 -2.22377e-09 0.00523879 2.52469e-09 0.999986
0.219 4.99924 -2.13717e-09 -0.220077 -2.2354e-09 0.00526472 2.53807e-09 0.999986
0.22 4.99924 -2.14991e-09 -0.222154 -2.24704e-09 0.00529066 2.55146e-09 0.999986
0.221 4.99923 -2.16265e-09 -0.224241 -2.25867e-09 0.0053166 2.56484e-09 0.999986
0.222 4.99923 -2.17539e-09 -0.226338 -2.27031e-09 0.00534253 2.57822e-09 0.999986
0.223 4.99923 -2.18814e-09 -0.228444 -2.28195e-09 0.00536847 2.5916e-09 0.999986
0.224 4.99922 -2.20088e-09 -0.23056 -2.29358e-09 0.00539441 2.60498e-09 0.999985
0.225 4.99922 -2.21362e-09 -0.232687 -2.30522e-09 0.00542034 2.61837e-09 0.999985
0.226 4.99921 -2.22637e-09 -0.234822 -2.31686e-09 0.00544628 2.63175e-09 0.999985
0.227 4.99921 -2.23911e-09 -0.236968 -2.3285e-09 0.00547222 2.64513e-09 0.999985
0.228 4.99921 -2.25186e-09 -0.239124 -2.34013e-09 0.00549815 2.65852e-09 0.999985
0.229 4.9992 -2.2646e-09 -0.241289 -2.35177e-09 0.00552409 2.6719e-09 0.999985
0.23 4.9992 -2.27735e-09 -0.243464 -2.36341e-09 0.00555003 2.68529e-09 0.999985
0.231 4.99919 -2.29009e-09 -0.245649 -2.37505e-09 0.00557596 2.69867e-09 0.999984
0.232 4.99919 -2.30284e-09 -0.247844 -2.38669e-09 0.0056019 2.71206e-09 0.999984
0.233 4.99919 -2.31558e-09 -0.250048 -2.39833e-09 0.00562784 2.72545e-09 0.999984
0.234 4.99918 -2.32833e-09 -0.252263 -2.40997e-09 0.00565377 2.73883e-09 0.999984
0.235 4.99918 -2.34108e-09 -0.254487 -2.42161e-09 0.00567971 2.75222e-09 0.999984
0.236 4.99918 -2.35383e-09 -0.256721 -2.43325e-09 0.00570565 2.76561e-09 0.999984
0.237 4.99917 -2.36658e-09 -0.258964 -2.44489e-09 0.00573158 2.77899e-09 0.999984
0.238 4.99917 -2.37933e-09 -0.261218 -2.45653e-09 0.00575752 2.79238e-09 0.999983
0.239 4.99916 -2.39207e-09 -0.263481 -2.46817e-09 0.00578346 2.80577e-09 0.999983
0.24 4.99916 -2.40482e-09 -0.265754 -2.47982e-09 0.00580939 2.81916e-09 0.999983
0.241 4.99916 -2.41757e-09 -0.268037 -2.49146e-09 0.00583533 2.83255e-09 0.999983
0.242 4.99915 -2.43032e-09 -0.27033 -2.5031e-09 0.00586127 2.84594e-09 0.999983
0.243 4.99915 -2.44308e-09 -0.272632 -2.51474e-09 0.0058872 2.85933e-09 0.999983
0.244 4.99914 -2.45583e-09 -0.274945 -2.52639e-09 0.00591314 2.87272e-09 0.999983
0.245 4.99914 -2.46858e-09 -0.277267 -2.53803e-09 0.00593908 2.88611e-09 0.999982
0.246 4.99914 -2.48133e-09 -0.279599 -2.54967e-09 0.00596501 2.8995e-09 0.999982
0.247 4.99913 -2.49408e-09 -0.281941 -2.56132e-09 0.00599095 2.91289e-09 0.999982
0.248 4.99913 -2.50684e-09 -0.284292 -2.57296e-09 0.00601689 2.92629e-09 0.999982
0.249 4.99912 -2.51959e-09 -0.286653 -2.58461e-09 0.00604282 2.93968e-09 0.999982
0.25 4.99912 -2.53235e-09 -0.289025 -2.59625e-09 0.00606876 2.95307e-09 0.999982
0.251 4.99912 -2.5451e-09 -0.291405 -2.6079e-09 0.0060947 2.96646e-09 0.999981
0.252 4.99911 -2.55785e-09 -0.293796 -2.61955e-09 0.00612063 2.97986e-09 0.999981
0.253 4.99911 -2.57061e-09 -0.296197 -2.63119e-09 0.00614657 2.99325e-09 0.999981
0.254 4.9991 -2.58337e-09 -0.298607 -2.64284e-09 0.00617251 3.00665e-09 0.999981
0.255 4.9991 -2.59612e-09 -0.301027 -2.65449e-09 0.00619844 3.02004e-09 0.999981
0.256 4.9991 -2.60888e-09 -0.303457 -2.66613e-09 0.00622438 3.03344e-09 0.999981
0.257 4.99909 -2.62164e-09 -0.305897 -2.67778e-09 0.00625031 3.04683e-09 0.99998
0.258 4.99909 -2.63439e-09 -0.308346 -2.68943e-09 0.00627625 3.06023e-09 0.99998
0.259 4.99908 -2.64715e-09 -0.310806 -2.70108e-09 0.00630219 3.07362e-09 0.99998
0.26 4.99908 -2.65991e-09 -0.313275 -2.71273e-09 0.00632812 3.08702e-09 0.99998
0.261 4.99908 -2.67267e-09 -0.315754 -2.72438e-09 0.00635406 3.10042e-09 0.99998
0.262 4.99907 -2.68543e-09 -0.318242 -2.73602e-09 0.00638 3.11382e-09 0.99998
0.263 4.99907 -2.69819e-09 -0.320741 -2.74767e-09 0.00640593 3.12721e-09 0.999979
0.264 4.99907 -2.71095e-09 -0.323249 -2.75932e-09 0.00643187 3.14061e-09 0.999979
0.265 4.99906 -2.72371e-09 -0.325767 -2.77097e-09 0.00645781 3.15401e-09 0.999979
0.266 4.99906 -2.73647e-09 -0.328295 -2.78263e-09 0.00648374 3.16741e-09 0.999979
0.267 4.99905 -2.74923e-09 -0.330833 -2.79428e-09 0.00650968 3.18081e-09 0.999979
0.268 4.99905 -2.76199e-09 -0.33338 -2.80593e-09 0.00653562 3.19421e-09 0.999979
