# <sim_time> <Fx> <Fy> <Fz>
0.494 5.70395 73.1514 2051.19
0.495 5.56875 73.9136 2048.34
0.496 5.43485 74.7483 2045.49
0.497 5.30944 75.5535 2042.05
0.498 5.19976 76.8991 2037.23
0.499 5.0968 78.2258 2031.85
0.5 5.00012 79.5345 2025.92
0.501 4.90934 80.8258 2019.48
0.502 4.82431 82.0993 2012.53
0.503 4.74429 83.3568 2005.09
0.504 4.66889 84.5987 1997.19
0.505 4.59773 85.8255 1988.85
0.506 4.53047 87.0372 1980.07
0.507 4.46676 88.234 1970.89
0.508 4.40629 89.4159 1961.31
0.509 4.34875 90.5827 1951.35
0.51 6.82732 91.2674 1587.83
0.511 6.73072 91.9424 1579.77
0.512 6.63351 92.8663 1571.69
0.513 6.53773 94.0339 1563.59
0.514 6.44229 95.4538 1555.5
0.515 6.34775 97.1273 1547.42
0.516 6.25472 99.0563 1539.37
0.517 6.17025 100.729 1530.51
0.518 6.09604 101.884 1520.44
0.519 6.02297 103.197 1510.24
0.52 5.95223 104.574 1499.8
0.521 5.88408 106.005 1489.11
0.522 5.8184 107.517 1478.21
0.523 5.75498 109.13 1467.31
0.524 5.68973 110.704 1456.47
0.525 5.62519 112.295 1445.37
0.526 5.56801 113.802 1433.99
0.527 5.51705 115.256 1422.39
0.528 5.46916 116.711 1410.57
0.529 5.42435 118.166 1398.54
0.53 5.38259 119.62 1386.31
0.531 5.34388 121.073 1373.89
0.532 5.30822 122.526 1361.27
0.533 5.27561 123.978 1348.47
0.534 5.24606 125.429 1335.49
0.535 5.21957 126.879 1322.33
0.536 5.19618 128.33 1309.01
0.537 5.17594 129.78 1295.51
0.538 5.1536 131.45 1282.39
0.539 5.13397 133.178 1269.22
0.54 5.11999 134.891 1255.82
0.541 5.11514 136.615 1242.18
0.542 5.10853 138.294 1228.35
0.543 5.10576 139.968 1214.29
0.544 7.46579 141.855 878.979
0.545 7.44468 143.415 865.888
0.546 7.44339 145.698 851.491
0.547 7.44644 148.178 836.608
0.548 7.43478 149.795 822.986
0.549 7.43395 151.27 809.452
0.55 7.4242 152.634 795.988
0.551 7.41725 153.966 782.452
0.552 7.41348 155.282 768.82
0.553 7.41402 156.618 755.027
0.554 7.41982 158.006 741.018
0.555 7.42541 159.282 727.124
0.556 7.43399 160.541 713.159
0.557 7.44582 161.791 699.114
0.558 7.46102 163.034 684.984
0.559 7.4797 164.272 670.77
0.56 7.50195 165.506 656.471
0.561 7.52788 166.737 642.084
0.562 7.55761 167.967 627.607
0.563 7.59132 169.197 613.037
0.564 7.62921 170.429 598.365
0.565 7.67158 171.664 583.58
0.566 7.71892 172.907 568.661
0.567 7.77205 174.165 553.572
0.568 7.83285 175.45 538.231
0.569 7.91269 176.838 522.186
0.57 8.04521 178.508 504.264
0.571 8.13102 179.931 487.85
0.572 8.21788 181.459 470.789
0.573 8.34389 183.98 447.775
0.574 8.43223 185.468 430.813
0.575 8.52156 186.865 414.204
0.576 8.60537 188.098 398.57
0.577 8.68873 189.341 383.35
0.578 11.1477 192.983 69.3891
0.579 11.2176 194.268 55.1482
0.58 11.2903 195.534 40.9975
0.581 11.366 196.78 26.9299
0.582 11.4445 198.007 12.9406
0.583 11.526 199.218 -0.974157
0.584 11.6105 200.411 -14.8178
0.585 11.6979 201.564 -28.5785
0.586 11.7879 202.68 -42.2641
0.587 11.8796 203.78 -55.9007
0.588 11.9594 204.873 -69.6808
0.589 12.0393 205.951 -83.4349
0.59 12.1384 207.003 -96.9089
0.591 12.247 208.035 -110.237
0.592 12.3616 209.048 -123.475
0.593 12.4818 210.042 -136.639
0.594 12.6078 211.014 -149.745
0.595 12.7404 211.956 -162.826
0.596 12.8831 212.836 -176.009
0.597 13.0532 213.478 -189.942
0.598 13.233 214.124 -203.806
0.599 13.3996 214.937 -216.916
0.6 13.5593 215.875 -229.45
0.601 13.7233 216.863 -241.728
0.602 13.8971 217.916 -253.757
0.603 14.1093 219.198 -265.283
0.604 14.395 220.909 -275.994
0.605 14.5832 222.111 -287.48
0.606 14.757 223.331 -298.948
0.607 14.9129 224.541 -311.846
0.608 15.0417 227.298 -320.831
0.609 15.2168 228.392 -331.919
0.61 15.3989 229.38 -342.915
0.611 15.5865 230.356 -353.722
0.612 18.2945 216.525 -643.896
0.613 18.4877 218.056 -653.355
0.614 18.683 221.094 -660.16
0.615 18.8867 222.247 -669.845
0.616 19.097 223.196 -679.662
0.617 19.3161 224.048 -689.434
0.618 19.5645 224.843 -699.107
0.619 19.8143 225.601 -708.624
0.62 20.1074 226.346 -717.969
0.621 20.3496 227.089 -727.049
0.622 20.5959 227.888 -735.779
0.623 20.9074 229.085 -743.207
0.624 21.1229 230.718 -750.187
0.625 21.3942 231.627 -758.146
0.626 21.6954 232.297 -766.285
0.627 22.029 232.891 -774.333
0.628 22.3005 233.43 -782.173
0.629 22.5866 233.946 -789.722
0.63 22.8511 234.38 -797.186
0.631 23.1163 234.787 -804.403
0.632 23.3901 235.19 -811.283
0.633 23.6945 235.611 -817.636
0.634 23.9689 236.072 -823.5
0.635 24.2442 237.234 -824.727
0.636 24.5017 237.827 -829.348
0.637 24.769 238.201 -834.927
0.638 25.0394 238.509 -840.604
0.639 25.3125 238.777 -846.22
0.64 25.5885 239.016 -851.704
0.641 25.8676 239.231 -857.014
0.642 26.086 240.047 -861.613
0.643 26.3738 240.224 -866.471
0.644 26.6683 240.385 -871.032
0.645 26.978 240.516 -875.152
0.646 30.5874 219.217 -1137.82
0.647 30.9026 219.46 -1140.95
0.648 31.2448 219.738 -1143.18
0.649 31.5433 220.502 -1142.38
0.65 31.8416 220.767 -1144.63
0.651 32.1399 220.963 -1147
0.652 32.4398 221.118 -1149.25
0.653 32.7427 221.238 -1151.28
0.654 33.0519 221.32 -1153.04
0.655 33.3782 221.337 -1154.37
0.656 33.8202 221.069 -1154.1
0.657 34.1458 221.064 -1154.92
0.658 34.4551 221.077 -1155.67
0.659 34.7576 221.086 -1156.21
0.66 35.0566 221.085 -1156.51
0.661 35.354 221.072 -1156.53
0.662 35.649 221.043 -1156.26
0.663 35.9421 220.996 -1155.67
0.664 36.234 220.926 -1154.73
0.665 36.5226 220.827 -1153.4
0.666 36.7362 219.975 -1151.02
0.667 37.0112 219.736 -1148.5
0.668 37.2266 218.535 -1141.96
0.669 37.4806 218.274 -1137.95
0.67 37.6705 218.748 -1132.04
0.671 37.9059 218.684 -1128.46
0.672 38.1281 218.572 -1124.95
0.673 38.3658 218.451 -1121.22
0.674 38.6172 218.429 -1116.41
0.675 38.9033 218.245 -1112.35
0.676 39.2065 217.999 -1108.1
0.677 39.5285 217.685 -1103.51
0.678 39.834 217.376 -1098.88
0.679 40.1526 216.956 -1093.88
0.68 44.6832 194.466 -1321.01
0.681 45.0022 194.16 -1315.03
0.682 45.302 193.926 -1308.29
0.683 45.6364 193.407 -1301.6
0.684 45.9478 192.975 -1294.78
0.685 46.2547 192.472 -1287.48
0.686 46.5863 191.122 -1277.07
0.687 46.8828 190.429 -1268.56
0.688 47.0772 191.783 -1258.89
0.689 47.3569 191.048 -1250.38
0.69 47.6281 190.316 -1241.6
0.691 47.8877 189.548 -1232.35
0.692 48.0954 188.165 -1219.75
0.693 48.3177 187.22 -1209.05
0.694 48.5297 186.492 -1199.25
0.695 48.5902 185.798 -1189.44
0.696 48.8028 185.15 -1179.59
0.697 49.0245 184.521 -1169.6
0.698 49.1719 183.896 -1159.41
0.699 49.3936 183.284 -1149.06
0.7 49.6309 182.676 -1138.52
0.701 49.8728 182.068 -1127.77
0.702 50.1165 181.455 -1116.8
0.703 50.3615 180.829 -1105.59
0.704 50.6206 180.109 -1093.99
0.705 50.8644 179.454 -1082.27
0.706 51.1027 178.774 -1070.26
0.707 51.3381 178.065 -1057.88
0.708 51.5662 177.408 -1044.08
0.709 51.7882 176.608 -1031.01
0.71 52.0052 175.6 -1017.63
0.711 52.1817 172.816 -1001.49
0.712 52.3868 171.516 -987.208
0.713 52.5952 170.45 -972.401
0.714 58.485 143.864 -1167.2
0.715 58.7055 143.08 -1152.29
0.716 58.9166 142.439 -1137.46
0.717 59.104 142.034 -1121.87
0.718 59.3083 141.41 -1107.02
0.719 59.5087 140.764 -1092.07
0.72 59.7036 140.091 -1076.93
0.721 59.8917 139.365 -1061.54
0.722 60.0713 138.53 -1045.78
0.723 60.2365 137.359 -1029.29
0.724 60.345 134.109 -1009.17
0.725 60.5009 133.072 -992.534
0.726 60.6567 132.303 -976.163
0.727 60.8087 131.649 -959.805
0.728 60.9554 131.064 -943.387
0.729 61.0961 130.525 -926.878
0.73 61.2302 130.022 -910.261
0.731 61.357 129.544 -893.527
0.732 61.4756 129.088 -876.669
0.733 61.5835 128.646 -859.68
0.734 61.6573 128.217 -842.517
0.735 61.6963 127.796 -825.18
0.736 61.747 127.381 -807.75
0.737 61.8253 126.969 -790.255
