# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.202 5.00191 0.00428808 -0.080236 -0.036662 -0.00233274 0.00138082 0.999324
0.203 5.00194 0.00436844 -0.0803202 -0.037072 -0.00235233 0.00139513 0.999309
0.204 5.00198 0.00445003 -0.0803935 -0.0374819 -0.00237193 0.00140942 0.999293
0.205 5.00201 0.00453287 -0.0804557 -0.0378915 -0.00239152 0.00142368 0.999278
0.206 5.00205 0.00461696 -0.0805069 -0.0383008 -0.0024111 0.00143791 0.999262
0.207 5.00209 0.0047023 -0.0805473 -0.0387097 -0.00243068 0.00145211 0.999246
0.208 5.00213 0.00478889 -0.0805769 -0.0391181 -0.00245024 0.00146627 0.999231
0.209 5.00216 0.00487674 -0.0805958 -0.0395259 -0.00246978 0.0014804 0.999214
0.21 5.0022 0.00496587 -0.080604 -0.0399331 -0.00248929 0.00149449 0.999198
0.211 5.00224 0.00505625 -0.0806016 -0.0403396 -0.00250877 0.00150854 0.999182
0.212 5.00228 0.00514791 -0.0805888 -0.0407452 -0.00252821 0.00152254 0.999165
0.213 5.00232 0.00524084 -0.0805655 -0.0411499 -0.00254761 0.0015365 0.999149
0.214 5.00236 0.00533504 -0.0805319 -0.0415537 -0.00256696 0.00155041 0.999132
0.215 5.00241 0.00543051 -0.0804881 -0.0419564 -0.00258626 0.00156427 0.999115
0.216 5.00245 0.00552727 -0.0804341 -0.0423579 -0.00260551 0.00157807 0.999098
0.217 5.00249 0.00562533 -0.0803699 -0.0427583 -0.00262469 0.00159182 0.999081
0.218 5.00253 0.00572468 -0.0802958 -0.0431574 -0.0026438 0.00160551 0.999063
0.219 5.00258 0.00582534 -0.0802118 -0.0435551 -0.00266285 0.00161913 0.999046
0.22 5.00262 0.00592733 -0.0801179 -0.0439513 -0.00268181 0.0016327 0.999029
0.221 5.00267 0.00603065 -0.0800143 -0.044346 -0.00270069 0.00164619 0.999011
0.222 5.00271 0.00613532 -0.0799011 -0.0447392 -0.00271949 0.00165962 0.998994
0.223 5.00276 0.00624135 -0.0797783 -0.0451306 -0.00273819 0.00167297 0.998976
0.224 5.0028 0.00634876 -0.079646 -0.0455203 -0.00275679 0.00168625 0.998958
0.225 5.00285 0.00645754 -0.0795044 -0.0459082 -0.00277529 0.00169944 0.99894
0.226 5.0029 0.00656771 -0.0793535 -0.0462942 -0.00279368 0.00171256 0.998922
0.227 5.00294 0.00667927 -0.0791934 -0.0466782 -0.00281195 0.00172559 0.998905
0.228 5.00299 0.00679223 -0.0790242 -0.0470602 -0.00283011 0.00173853 0.998887
0.229 5.00304 0.0069066 -0.078846 -0.04744 -0.00284815 0.00175138 0.998868
0.23 5.00309 0.00702238 -0.0786589 -0.0478177 -0.00286606 0.00176415 0.99885
0.231 5.00314 0.00713959 -0.078463 -0.0481932 -0.00288384 0.00177681 0.998832
0.232 5.00319 0.00725822 -0.0782584 -0.0485664 -0.00290149 0.00178939 0.998814
0.233 5.00324 0.00737829 -0.0780452 -0.0489372 -0.002919 0.00180186 0.998796
0.234 5.0033 0.00749981 -0.0778234 -0.0493055 -0.00293637 0.00181424 0.998778
0.235 5.00335 0.00762277 -0.0775932 -0.0496714 -0.00295359 0.00182651 0.99876
0.236 5.0034 0.00774719 -0.0773547 -0.0500347 -0.00297066 0.00183867 0.998741
0.237 5.00345 0.00787308 -0.0771079 -0.0503954 -0.00298758 0.00185073 0.998723
0.238 5.00351 0.00800061 -0.0768499 -0.0507535 -0.00300449 0.00186269 0.998705
0.239 5.00356 0.00812978 -0.0765806 -0.051109 -0.00302139 0.00187455 0.998687
0.24 5.00362 0.00826061 -0.0763002 -0.0514618 -0.00303827 0.0018863 0.998669
0.241 5.00367 0.00839312 -0.0760089 -0.0518118 -0.00305514 0.00189795 0.99865
0.242 5.00373 0.0085273 -0.0757069 -0.0521591 -0.00307198 0.00190948 0.998632
0.243 5.00379 0.00866317 -0.0753941 -0.0525034 -0.00308879 0.00192091 0.998614
0.244 5.00384 0.00880073 -0.0750709 -0.0528448 -0.00310556 0.00193221 0.998596
0.245 5.0039 0.00893996 -0.0747372 -0.0531833 -0.00312229 0.0019434 0.998578
0.246 5.00396 0.00908088 -0.0743933 -0.0535187 -0.00313898 0.00195447 0.99856
0.247 5.00402 0.00922349 -0.0740393 -0.0538509 -0.00315562 0.00196542 0.998542
0.248 5.00408 0.00936778 -0.0736753 -0.0541801 -0.00317221 0.00197625 0.998524
0.249 5.00414 0.00951378 -0.0733014 -0.054506 -0.00318873 0.00198695 0.998506
0.25 5.0042 0.00966147 -0.0729178 -0.0548286 -0.0032052 0.00199752 0.998489
0.251 5.00426 0.00981087 -0.0725246 -0.055148 -0.00322159 0.00200797 0.998471
0.252 5.00432 0.00996199 -0.072122 -0.0554639 -0.00323792 0.00201828 0.998453
0.253 5.00438 0.0101148 -0.0717101 -0.0557765 -0.00325417 0.00202846 0.998436
0.254 5.00445 0.0102694 -0.071289 -0.0560856 -0.00327034 0.00203852 0.998419
0.255 5.00451 0.0104256 -0.0708588 -0.0563911 -0.00328642 0.00204843 0.998401
0.256 5.00457 0.0105837 -0.0704197 -0.0566931 -0.00330241 0.00205821 0.998384
0.257 5.00464 0.0107434 -0.0699719 -0.0569915 -0.00331831 0.00206785 0.998367
